Data,Milhas,Horario
01/09/2025,12006,12:20
02/09/2025,11373,10:15
03/09/2025,12321,11:50
04/09/2025,12163,14:00
05/09/2025,12636,10:15
06/09/2025,12636,10:30
07/09/2025,8664,10:15
